epoch,phase,L_detect,L_contrast,L_total
1,frozen,40.1655,-1.7853,39.2728
2,frozen,39.5181,-1.8422,38.5971
3,frozen,39.2679,-1.8445,38.3456
4,frozen,38.988,-1.8449,38.0655
5,frozen,38.5684,-1.8494,37.6437
6,joint,37.7006,-1.8458,36.7777
7,joint,35.2107,-1.8486,34.2864
8,joint,33.7058,-1.8475,32.782
9,joint,32.1775,-1.8515,31.2518
10,joint,30.7438,-1.8537,29.8169
11,joint,29.1479,-1.8535,28.2211
12,joint,27.7078,-1.8551,26.7802
13,joint,26.4048,-1.8515,25.479
14,joint,24.8991,-1.8558,23.9712
15,joint,23.4229,-1.8598,22.493
16,joint,22.1401,-1.857,21.2116
17,joint,20.8124,-1.8619,19.8815
18,joint,19.6569,-1.8573,18.7282
19,joint,18.5932,-1.8628,17.6618
20,joint,17.6865,-1.8604,16.7563
21,joint,16.965,-1.8604,16.0348
22,joint,16.2438,-1.8616,15.313
23,joint,15.8068,-1.8607,14.8764
24,joint,15.5795,-1.8616,14.6487
25,joint,15.3746,-1.8628,14.4432
