epoch,phase,L_detect,L_contrast,L_total
1,frozen,40.1624,-1.8047,39.2601
2,frozen,39.3319,-1.8438,38.41
3,frozen,39.1367,-1.8489,38.2123
4,joint,40.1641,-1.8494,39.2394
5,joint,38.0103,-1.8509,37.0848
6,joint,36.1253,-1.8545,35.198
7,joint,34.4876,-1.8496,33.5628
8,joint,32.9729,-1.854,32.0459
9,joint,31.5958,-1.8519,30.6699
10,joint,29.6278,-1.8531,28.7012
11,joint,27.9337,-1.859,27.0042
12,joint,26.1924,-1.8603,25.2623
13,joint,24.4385,-1.8515,23.5128
14,joint,22.88,-1.8559,21.952
15,joint,21.2412,-1.8586,20.3119
16,joint,19.9532,-1.8611,19.0227
17,joint,18.8436,-1.8599,17.9137
18,joint,18.009,-1.8604,17.0788
19,joint,17.4497,-1.8641,16.5176
20,joint,17.2081,-1.8647,16.2758
